#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"11949221570";"23/02/2022 / 13:10:01";"GOLL4";"V";"1100";"0,00";"executada";"entrada";"1100";"17,97";"-";"-";"-"
"11948763384";"23/02/2022 / 12:17:32";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"18,09";"0,56";"3,00";"560,00"
"11948044992";"23/02/2022 / 11:10:01";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"18,65";"-";"-";"-"
"11944316499";"22/02/2022 / 16:50:01";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"18,52";"-0,10";"-0,52";"-96,00"
"11943690818";"22/02/2022 / 14:50:00";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"18,42";"-";"-";"-"
"11943080899";"22/02/2022 / 13:10:00";"GOLL4";"V";"1000";"0,00";"executada";"saída";"1000";"18,54";"-0,11";"-0,59";"-110,00"
"11942592256";"22/02/2022 / 11:50:01";"GOLL4";"C";"1000";"0,00";"executada";"entrada";"1000";"18,65";"-";"-";"-"
"11936472980";"21/02/2022 / 13:30:00";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"18,85";"-0,08";"-0,43";"-80,00"
"11936249633";"21/02/2022 / 12:40:00";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"18,77";"-";"-";"-"
"11936090060";"21/02/2022 / 12:10:01";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"18,82";"-0,04";"-0,19";"-35,00"
"11935851230";"21/02/2022 / 11:30:01";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"18,78";"-";"-";"-"
"11920814817";"18/02/2022 / 14:20:01";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"19,08";"-0,13";"-0,68";"-129,00"
"11920268533";"18/02/2022 / 12:20:01";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"18,95";"-";"-";"-"
"11920158514";"18/02/2022 / 12:00:01";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"19,12";"-0,02";"-0,12";"-23,00"
"11919615369";"18/02/2022 / 10:30:01";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"19,10";"-";"-";"-"
"11915036133";"17/02/2022 / 16:50:01";"GOLL4";"C";"1000";"0,00";"executada";"saída";"1000";"19,21";"-0,03";"-0,14";"-26,00"
"11912740198";"17/02/2022 / 12:30:04";"GOLL4";"V";"1000";"0,00";"executada";"entrada";"1000";"19,18";"-";"-";"-"
