#;Data/Hora;Ativo;C/V;Quantidade;Preço limite;Status;Tipo;Quantidade executada;Preço médio;Resultado (Abs.);Resultado %;Resultado (R$)
"8756752531";"02/12/2019 / 10:45:00";"MGLU3";"V";"400";"45,00";"executada";"entrada";"400";"45,10";"-";"-";"-"
"8756752528";"29/11/2019 / 15:45:00";"MGLU3";"C";"400";"45,52";"executada";"saída";"400";"45,43";"-0,16";"-0,35";"-64,00"
"8756752525";"29/11/2019 / 11:30:00";"MGLU3";"V";"400";"45,18";"executada";"entrada";"400";"45,27";"-";"-";"-"
"8756752519";"28/11/2019 / 11:30:00";"MGLU3";"C";"400";"45,78";"executada";"saída";"400";"45,69";"-0,16";"-0,35";"-64,00"
"8756752516";"28/11/2019 / 11:15:00";"MGLU3";"V";"400";"45,40";"executada";"entrada";"400";"45,53";"-";"-";"-"
"8756752513";"27/11/2019 / 16:50:00";"MGLU3";"V";"400";"44,69";"executada";"saída";"400";"44,81";"1,09";"2,49";"436,00"
"8756752510";"27/11/2019 / 13:30:00";"MGLU3";"C";"400";"43,82";"executada";"entrada";"400";"43,72";"-";"-";"-"
"8756752504";"27/11/2019 / 13:00:00";"MGLU3";"C";"400";"43,63";"executada";"saída";"400";"43,54";"-0,04";"-0,09";"-16,00"
"8756752498";"27/11/2019 / 12:15:00";"MGLU3";"V";"400";"43,39";"executada";"entrada";"400";"43,50";"-";"-";"-"
"8756752495";"26/11/2019 / 16:50:00";"MGLU3";"C";"400";"42,94";"executada";"saída";"400";"42,83";"0,23";"0,53";"92,00"
"8756752489";"26/11/2019 / 13:30:00";"MGLU3";"V";"400";"42,94";"executada";"entrada";"400";"43,06";"-";"-";"-"
"8756752486";"22/11/2019 / 13:00:00";"MGLU3";"C";"400";"45,43";"executada";"saída";"400";"45,32";"-0,21";"-0,47";"-84,00"
"8756752483";"22/11/2019 / 12:15:00";"MGLU3";"V";"400";"45,00";"executada";"entrada";"400";"45,11";"-";"-";"-"
"8756752480";"21/11/2019 / 16:50:00";"MGLU3";"C";"400";"44,86";"executada";"saída";"400";"44,74";"-0,30";"-0,68";"-120,00"
"8756752474";"21/11/2019 / 12:00:00";"MGLU3";"V";"400";"44,33";"executada";"entrada";"400";"44,44";"-";"-";"-"
"8756752468";"21/11/2019 / 11:45:00";"MGLU3";"C";"400";"44,98";"executada";"saída";"400";"44,88";"-0,18";"-0,40";"-72,00"
"8756752465";"21/11/2019 / 11:30:00";"MGLU3";"V";"400";"44,60";"executada";"entrada";"400";"44,70";"-";"-";"-"
"8756752462";"19/11/2019 / 15:45:00";"MGLU3";"C";"400";"44,50";"executada";"saída";"400";"44,39";"0,18";"0,40";"72,00"
"8756752459";"19/11/2019 / 11:30:00";"MGLU3";"V";"400";"44,47";"executada";"entrada";"400";"44,57";"-";"-";"-"
"8756752456";"18/11/2019 / 13:45:00";"MGLU3";"V";"400";"44,47";"executada";"saída";"400";"44,58";"-0,16";"-0,36";"-64,00"
"8756752453";"18/11/2019 / 11:15:00";"MGLU3";"C";"400";"44,84";"executada";"entrada";"400";"44,74";"-";"-";"-"
"8756752450";"11/11/2019 / 15:45:35";"MGLU3";"V";"400";"45,14";"executada";"saída";"400";"45,22";"1,41";"3,22";"564,00"
"8756752444";"11/11/2019 / 10:30:00";"MGLU3";"C";"400";"43,90";"executada";"entrada";"400";"43,81";"-";"-";"-"
